p_mut	p_inf	n_inf_n_mean
6.3095734448019305e-6	0.0085	4333.333333333333
6.3095734448019305e-6	0.009	4500.0
6.3095734448019305e-6	0.0095	4833.333333333333
6.3095734448019305e-6	0.01	4833.333333333333
1.0e-5	0.0	0.0
1.0e-5	0.0005	0.0
1.0e-5	0.001	0.0
1.0e-5	0.0015	0.0
1.0e-5	0.002	0.0
1.0e-5	0.0025	0.0
1.0e-5	0.003	166.66666666666666
1.0e-5	0.0035	333.3333333333333
1.0e-5	0.004	0.0
1.0e-5	0.0045	500.0
1.0e-5	0.005	500.0
1.0e-5	0.0055	1166.6666666666667
1.0e-5	0.006	1500.0
1.0e-5	0.0065	2500.0
1.0e-5	0.007	3000.0
1.0e-5	0.0075	3500.0
1.0e-5	0.008	3833.3333333333335
1.0e-5	0.0085	4666.666666666667
1.0e-5	0.009	4833.333333333333
1.0e-5	0.0095	4666.666666666667
1.0e-5	0.01	5000.0
1.584893192461114e-5	0.0	0.0
1.584893192461114e-5	0.0005	0.0
1.584893192461114e-5	0.001	0.0
1.584893192461114e-5	0.0015	0.0
1.584893192461114e-5	0.002	0.0
1.584893192461114e-5	0.0025	0.0
1.584893192461114e-5	0.003	166.66666666666666
1.584893192461114e-5	0.0035	166.66666666666666
1.584893192461114e-5	0.004	833.3333333333334
1.584893192461114e-5	0.0045	1166.6666666666667
1.584893192461114e-5	0.005	1833.3333333333333
1.584893192461114e-5	0.0055	2500.0
1.584893192461114e-5	0.006	3333.3333333333335
1.584893192461114e-5	0.0065	3166.6666666666665
1.584893192461114e-5	0.007	3666.6666666666665
1.584893192461114e-5	0.0075	3833.3333333333335
1.584893192461114e-5	0.008	4666.666666666667
1.584893192461114e-5	0.0085	4666.666666666667
1.584893192461114e-5	0.009	4833.333333333333
1.584893192461114e-5	0.0095	4833.333333333333
1.584893192461114e-5	0.01	4833.333333333333
2.5118864315095798e-5	0.0	0.0
2.5118864315095798e-5	0.0005	0.0
2.5118864315095798e-5	0.001	0.0
2.5118864315095798e-5	0.0015	0.0
2.5118864315095798e-5	0.002	0.0
2.5118864315095798e-5	0.0025	0.0
2.5118864315095798e-5	0.003	500.0
2.5118864315095798e-5	0.0035	1166.6666666666667
2.5118864315095798e-5	0.004	500.0
2.5118864315095798e-5	0.0045	666.6666666666666
2.5118864315095798e-5	0.005	1666.6666666666667
2.5118864315095798e-5	0.0055	2833.3333333333335
2.5118864315095798e-5	0.006	3166.6666666666665
2.5118864315095798e-5	0.0065	3500.0
2.5118864315095798e-5	0.007	3666.6666666666665
2.5118864315095798e-5	0.0075	4000.0
2.5118864315095798e-5	0.008	4166.666666666667
