p_mut	p_inf	seed	n_inf_n	n_rec_n	ief_mean	ief_var	ief_max	ief_min	r0_mean	r0_var	r0_bins
0.0001	0.01	20	0	43	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	21	0	32	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	22	0	20	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	23	5000	0	410.73992746535043	422106.18828635494	10561.196067929834	3.426137034634685	97.92584568580743	1889.5935895587875	[2, 2, 6, 10, 5, 13, 7, 9, 6, 13, 14, 15, 20, 19, 17, 18, 20, 19, 22, 24, 13, 18, 18, 14, 30, 26, 30, 24, 30, 19, 25, 24, 19, 24, 20, 19, 18, 27, 29, 21, 27, 20, 10, 25, 26, 13, 19, 27, 16, 27, 26, 22, 27, 29, 26, 22, 34, 23, 26, 22, 27, 30, 20, 27, 28, 30, 24, 26, 29, 18, 29, 31, 22, 36, 31, 29, 25, 35, 26, 19, 25, 16, 28, 30, 19, 18, 19, 37, 34, 32, 31, 31, 38, 26, 26, 28, 30, 31, 31, 37, 34, 45, 41, 29, 37, 25, 35, 28, 23, 38, 30, 38, 40, 37, 36, 42, 36, 48, 37, 38, 40, 36, 38, 40, 41, 33, 31, 53, 34, 43, 33, 42, 40, 39, 31, 39, 42, 43, 53, 46, 41, 57, 52, 67, 79, 79, 92, 87, 106, 533, 8]
0.0001	0.01	24	0	24	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	25	0	36	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	26	5000	0	344.856567002176	558410.8847986595	16238.094763784404	1.4504146068812467	89.8293455826424	1907.502749782812	[0, 4, 8, 8, 11, 11, 15, 27, 20, 19, 19, 16, 17, 19, 15, 18, 21, 16, 27, 31, 22, 29, 28, 33, 19, 18, 20, 22, 29, 28, 28, 29, 15, 33, 38, 30, 24, 27, 37, 29, 25, 31, 35, 21, 38, 29, 35, 31, 36, 25, 22, 30, 36, 33, 23, 22, 30, 44, 22, 28, 27, 25, 32, 31, 34, 26, 32, 42, 21, 44, 47, 27, 32, 30, 40, 31, 34, 22, 34, 28, 37, 31, 37, 34, 32, 35, 29, 23, 28, 35, 38, 25, 33, 30, 35, 36, 35, 35, 43, 31, 36, 24, 40, 24, 27, 31, 29, 21, 31, 27, 24, 32, 39, 26, 33, 24, 29, 34, 41, 31, 32, 27, 32, 38, 44, 36, 41, 37, 35, 35, 37, 38, 34, 41, 50, 41, 59, 40, 45, 36, 42, 56, 50, 52, 50, 53, 74, 46, 76, 344, 19]
0.0001	0.01	27	0	45	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	28	0	25	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	29	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	30	0	37	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	1	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	2	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	3	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	4	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	6	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	7	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	8	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	9	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	10	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	11	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	12	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	13	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.002	14	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
